epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,485.536,0.77314,0.66712,0.96151,0.81781,0.63587,0.72833,0.57641,0.84204,0.66257,1.07909,0.000543587,0.000543587,0.000543587
2,1019.02,0.7563,0.56101,0.94287,0.60997,0.66275,0.553,0.42973,0.90194,0.74307,1.09351,0.00108474,0.00108474,0.00108474
3,1474.65,0.80537,0.57528,0.97367,0.51265,0.58725,0.53471,0.39157,0.98608,0.92235,1.19335,0.00161123,0.00161123,0.00161123
4,1920.48,0.80841,0.64594,0.99432,0.71284,0.6799,0.6344,0.5091,0.98049,0.79346,1.15645,0.00160099,0.00160099,0.00160099
5,2366.92,0.83214,0.69713,0.9735,0.60442,0.49216,0.51126,0.37725,1.00007,0.94565,1.13975,0.00157898,0.00157898,0.00157898
6,2812.59,0.79399,0.62012,0.95963,0.73105,0.65049,0.66079,0.496,0.97506,0.75902,1.14124,0.00155698,0.00155698,0.00155698
7,3258.38,0.82834,0.65426,0.98762,0.64931,0.73578,0.66212,0.51577,1.03456,0.88967,1.19004,0.00153497,0.00153497,0.00153497
8,3704.81,0.8385,0.64974,0.99552,0.64132,0.41902,0.50634,0.38732,0.96295,1.1231,1.12309,0.00151297,0.00151297,0.00151297
9,4151.19,0.81468,0.70343,1.0039,0.85095,0.67745,0.80147,0.5775,0.9938,0.8511,1.21542,0.00149096,0.00149096,0.00149096
10,4593.4,0.77743,0.61679,0.96919,0.62468,0.66597,0.66503,0.50978,0.91051,0.76185,1.13297,0.00146896,0.00146896,0.00146896
11,5034.77,0.80567,0.65166,0.97366,0.89005,0.55049,0.63418,0.47804,0.96786,0.86524,1.14807,0.00144696,0.00144696,0.00144696
12,5476.43,0.84815,0.69272,0.97916,0.64542,0.47317,0.55576,0.39046,1.01924,0.8813,1.25462,0.00142495,0.00142495,0.00142495
13,5915.25,0.76148,0.59837,0.9834,0.73346,0.60592,0.68215,0.49721,0.99113,0.8249,1.15543,0.00140295,0.00140295,0.00140295
14,6356.53,0.79404,0.61002,0.97344,0.84393,0.78725,0.79084,0.59092,0.94509,0.77407,1.15393,0.00138094,0.00138094,0.00138094
15,6797.48,0.75634,0.60509,0.97369,0.64886,0.90931,0.70421,0.55968,0.90739,0.80576,1.1483,0.00135894,0.00135894,0.00135894
16,7238.54,0.78273,0.56427,0.97255,0.63241,0.57292,0.61489,0.48405,0.98104,0.8123,1.24361,0.00133693,0.00133693,0.00133693
17,7680.15,0.78466,0.58544,0.94161,0.54891,0.72486,0.59389,0.44383,0.95051,0.83692,1.19927,0.00131493,0.00131493,0.00131493
18,8121.49,0.75231,0.57193,0.97601,0.86062,0.56029,0.72953,0.58417,0.90042,0.80314,1.13693,0.00129293,0.00129293,0.00129293
19,8562.68,0.71296,0.55432,0.94748,0.72093,0.47515,0.64952,0.50349,0.95448,0.76325,1.16124,0.00127092,0.00127092,0.00127092
20,9003.68,0.73761,0.54019,0.96171,0.6452,0.6722,0.68035,0.52017,0.89833,0.7597,1.15784,0.00124892,0.00124892,0.00124892
21,9444.89,0.74625,0.55053,0.96712,0.70727,0.78125,0.65457,0.48181,0.90703,0.77885,1.12929,0.00122691,0.00122691,0.00122691
22,9886.71,0.74169,0.55125,0.96446,0.72977,0.64894,0.71971,0.51325,0.8554,0.71881,1.1136,0.00120491,0.00120491,0.00120491
23,10328.3,0.7788,0.5997,0.96611,0.6283,0.68764,0.62704,0.45403,0.86537,0.73302,1.12474,0.0011829,0.0011829,0.0011829
24,10769.5,0.72283,0.5361,0.95911,0.67696,0.55635,0.61241,0.44466,0.88855,0.75642,1.13104,0.0011609,0.0011609,0.0011609
25,11210.7,0.708,0.50216,0.93286,0.60623,0.59642,0.53593,0.37871,0.927,0.7549,1.12448,0.00113889,0.00113889,0.00113889
26,11651.6,0.72936,0.56623,0.9608,0.73495,0.64619,0.61575,0.47073,0.89089,0.74162,1.1407,0.00111689,0.00111689,0.00111689
27,12092.5,0.70415,0.52024,0.93118,0.6761,0.47935,0.53423,0.42089,0.90634,0.79701,1.16335,0.00109489,0.00109489,0.00109489
28,12534.1,0.70072,0.53894,0.93982,0.7255,0.78259,0.69278,0.52598,0.94956,0.74144,1.16314,0.00107288,0.00107288,0.00107288
29,12975.4,0.74063,0.54883,0.94733,0.76634,0.60725,0.63173,0.48805,0.86486,0.68205,1.09129,0.00105088,0.00105088,0.00105088
30,13416.6,0.72535,0.535,0.95387,0.58787,0.55373,0.65534,0.51076,0.86424,0.74328,1.10606,0.00102887,0.00102887,0.00102887
31,13857.6,0.68184,0.50601,0.93302,0.59167,0.81176,0.64447,0.48836,0.89092,0.69954,1.1241,0.00100687,0.00100687,0.00100687
32,14298.6,0.70084,0.50997,0.92498,0.41092,0.39951,0.47414,0.35745,0.84641,0.75777,1.08014,0.000984864,0.000984864,0.000984864
33,14740,0.70665,0.54444,0.95895,0.5886,0.51176,0.49029,0.36279,0.85536,0.72667,1.09482,0.000962859,0.000962859,0.000962859
34,15181.4,0.66799,0.50877,0.90908,0.6887,0.49634,0.58989,0.44451,0.89328,0.71319,1.12114,0.000940855,0.000940855,0.000940855
35,15622.6,0.69099,0.49726,0.91902,0.89054,0.48971,0.63259,0.49412,0.9085,0.69715,1.13358,0.00091885,0.00091885,0.00091885
36,16064.5,0.6997,0.47219,0.93377,0.49202,0.6194,0.61564,0.47632,0.86624,0.71024,1.11028,0.000896846,0.000896846,0.000896846
37,16505.5,0.65634,0.48096,0.89978,0.87876,0.49516,0.56471,0.44817,0.84495,0.69758,1.12077,0.000874842,0.000874842,0.000874842
38,16946.7,0.686,0.4901,0.94455,0.81467,0.50131,0.59379,0.46376,0.85373,0.71591,1.09125,0.000852837,0.000852837,0.000852837
39,17387.9,0.6415,0.44934,0.90651,0.72331,0.49436,0.55414,0.43629,0.83527,0.68923,1.11058,0.000830833,0.000830833,0.000830833
40,17829.1,0.63378,0.50828,0.93179,0.69552,0.4799,0.5619,0.45164,0.83756,0.75009,1.10522,0.000808828,0.000808828,0.000808828
41,18270.3,0.66078,0.46639,0.92782,0.75197,0.60783,0.58454,0.45738,0.85823,0.6873,1.10294,0.000786824,0.000786824,0.000786824
42,18711.7,0.6422,0.45438,0.90569,0.70772,0.60191,0.57333,0.43687,0.85966,0.68066,1.09851,0.00076482,0.00076482,0.00076482
43,19153.1,0.62743,0.47721,0.9197,0.58679,0.80147,0.582,0.42752,0.87356,0.68713,1.09694,0.000742815,0.000742815,0.000742815
44,19594.5,0.63555,0.44733,0.88767,0.84805,0.48971,0.51302,0.41163,0.86787,0.70695,1.11414,0.000720811,0.000720811,0.000720811
45,20036.2,0.63827,0.4514,0.90795,0.58645,0.62157,0.58612,0.44928,0.86891,0.69224,1.08963,0.000698806,0.000698806,0.000698806
46,20477.9,0.64196,0.49849,0.92106,0.62894,0.61912,0.58716,0.46508,0.82321,0.67052,1.07399,0.000676802,0.000676802,0.000676802
47,20919.2,0.63911,0.45434,0.90331,0.55342,0.61667,0.5833,0.45786,0.83387,0.7085,1.11317,0.000654798,0.000654798,0.000654798
48,21360.3,0.61464,0.47286,0.91738,0.77864,0.60872,0.65498,0.51822,0.79084,0.64639,1.0772,0.000632793,0.000632793,0.000632793
49,21801.4,0.6305,0.44579,0.89865,0.68934,0.61169,0.62042,0.50913,0.81745,0.69359,1.09011,0.000610789,0.000610789,0.000610789
50,22242.5,0.59142,0.42328,0.90426,0.60963,0.61912,0.62569,0.49367,0.83229,0.70528,1.11733,0.000588784,0.000588784,0.000588784
51,22683.5,0.608,0.4433,0.91268,0.68916,0.60056,0.639,0.48966,0.83492,0.71685,1.10666,0.00056678,0.00056678,0.00056678
52,23125.1,0.67307,0.47254,0.89925,0.77186,0.59157,0.65412,0.51095,0.83389,0.69076,1.09663,0.000544776,0.000544776,0.000544776
53,23566.5,0.60595,0.46289,0.89224,0.70487,0.59706,0.66422,0.53041,0.82295,0.69718,1.08331,0.000522771,0.000522771,0.000522771
54,24007.6,0.61526,0.43708,0.89636,0.68884,0.61667,0.61339,0.4962,0.79046,0.68738,1.07849,0.000500767,0.000500767,0.000500767
