epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1635.4,0.46066,0.51085,0.85583,0.87049,0.90481,0.94731,0.8087,0.47276,0.53474,0.8198,0.0011882,0.0011882,0.0011882
43,1673.58,0.4517,0.45356,0.83388,0.95082,0.84615,0.93533,0.81079,0.51752,0.59037,0.83575,0.0011684,0.0011684,0.0011684
44,1713.87,0.44429,0.43203,0.83658,0.98922,0.88462,0.96243,0.83634,0.46472,0.5409,0.81719,0.0011486,0.0011486,0.0011486
45,1752.28,0.45361,0.42676,0.84509,0.98655,0.86538,0.95913,0.83095,0.4724,0.5465,0.81135,0.0011288,0.0011288,0.0011288
46,1790.01,0.47192,0.45184,0.84838,0.9523,0.86538,0.93071,0.81908,0.50873,0.54661,0.82857,0.001109,0.001109,0.001109
47,1827.96,0.41514,0.40823,0.84523,0.93399,0.86538,0.9318,0.82901,0.48512,0.53322,0.81684,0.0010892,0.0010892,0.0010892
48,1865.32,0.41318,0.42461,0.82989,0.97209,0.86538,0.95012,0.8322,0.48897,0.5663,0.82665,0.0010694,0.0010694,0.0010694
49,1903.55,0.42532,0.42047,0.83517,0.91835,0.88462,0.93032,0.8302,0.4465,0.55431,0.81792,0.0010496,0.0010496,0.0010496
50,1941.7,0.40216,0.39476,0.81561,0.92533,0.86538,0.94795,0.84336,0.45868,0.53973,0.81158,0.0010298,0.0010298,0.0010298
51,1979.92,0.38837,0.41367,0.81126,0.96169,0.88462,0.95356,0.84179,0.46543,0.49157,0.82477,0.00101,0.00101,0.00101
52,2017.88,0.44543,0.42775,0.83005,0.92367,0.93099,0.95355,0.84132,0.49595,0.55638,0.82293,0.0009902,0.0009902,0.0009902
53,2055.69,0.42137,0.41922,0.83284,0.93506,0.96154,0.9801,0.84516,0.44984,0.48172,0.80864,0.0009704,0.0009704,0.0009704
54,2093.95,0.39777,0.37934,0.82465,0.9795,0.91913,0.9788,0.86518,0.45895,0.48093,0.81509,0.0009506,0.0009506,0.0009506
55,2131.89,0.41116,0.39515,0.81322,0.96649,0.90385,0.95739,0.84324,0.46638,0.49585,0.81314,0.0009308,0.0009308,0.0009308
56,2170.38,0.41966,0.40581,0.81671,1,0.88572,0.96905,0.85154,0.45535,0.50828,0.80976,0.000911,0.000911,0.000911
57,2208.65,0.41297,0.38881,0.82827,0.99937,0.90385,0.97828,0.8595,0.43823,0.44531,0.80777,0.0008912,0.0008912,0.0008912
58,2246.65,0.41077,0.3795,0.82825,0.99663,0.88462,0.95792,0.86933,0.45265,0.43225,0.79733,0.0008714,0.0008714,0.0008714
59,2284.57,0.36572,0.36327,0.82017,0.9973,0.88462,0.96212,0.87101,0.43196,0.43474,0.8017,0.0008516,0.0008516,0.0008516
60,2323.42,0.38285,0.36481,0.81728,0.96068,0.93966,0.96083,0.86686,0.43515,0.45817,0.81086,0.0008318,0.0008318,0.0008318
61,2361.32,0.38959,0.3751,0.81103,0.97488,0.92308,0.96045,0.86086,0.43213,0.44122,0.8105,0.000812,0.000812,0.000812
62,2399.48,0.37395,0.3619,0.80917,0.97991,0.93798,0.96416,0.86602,0.41125,0.42382,0.81083,0.0007922,0.0007922,0.0007922
63,2437.62,0.38247,0.36563,0.80971,0.97404,0.94231,0.9633,0.87356,0.42497,0.42341,0.80322,0.0007724,0.0007724,0.0007724
64,2475.7,0.37505,0.35513,0.80438,0.9658,0.92308,0.96033,0.8526,0.45547,0.45067,0.80895,0.0007526,0.0007526,0.0007526
65,2513.5,0.40368,0.37099,0.83214,0.99469,0.90385,0.95793,0.84372,0.45834,0.4388,0.81098,0.0007328,0.0007328,0.0007328
66,2551.14,0.37298,0.35581,0.82207,0.97909,0.90034,0.95754,0.85587,0.44942,0.42429,0.81508,0.000713,0.000713,0.000713
67,2589.1,0.33806,0.31996,0.81705,0.9791,0.90076,0.96083,0.86344,0.41756,0.41838,0.81427,0.0006932,0.0006932,0.0006932
68,2624.65,0.35794,0.34718,0.80576,1,0.90282,0.96208,0.85996,0.43953,0.41937,0.81652,0.0006734,0.0006734,0.0006734
69,2660.3,0.39202,0.35357,0.82372,0.93745,0.94231,0.96125,0.85493,0.43732,0.41841,0.81895,0.0006536,0.0006536,0.0006536
70,2696.09,0.37543,0.33757,0.80725,0.97613,0.96154,0.98294,0.85963,0.42726,0.39943,0.81547,0.0006338,0.0006338,0.0006338
71,2732.04,0.34934,0.34094,0.82586,1,0.92052,0.96329,0.86362,0.43157,0.39288,0.8114,0.000614,0.000614,0.000614
72,2768.13,0.35856,0.33242,0.80608,1,0.93869,0.96631,0.86524,0.43403,0.42043,0.80634,0.0005942,0.0005942,0.0005942
73,2804.14,0.35864,0.32445,0.82552,0.97953,0.92031,0.94739,0.87135,0.41373,0.40512,0.81048,0.0005744,0.0005744,0.0005744
74,2839.83,0.33506,0.30948,0.80621,1,0.94062,0.96719,0.87483,0.42161,0.40645,0.80915,0.0005546,0.0005546,0.0005546
75,2875.43,0.34642,0.3096,0.79402,1,0.95543,0.98555,0.87398,0.4363,0.39712,0.8104,0.0005348,0.0005348,0.0005348
76,2911.08,0.31322,0.30439,0.81573,1,0.94331,0.98587,0.88727,0.39788,0.37072,0.80421,0.000515,0.000515,0.000515
77,2947.53,0.33806,0.30987,0.80149,1,0.93982,0.98559,0.89133,0.39538,0.37199,0.80039,0.0004952,0.0004952,0.0004952
78,2983.28,0.33451,0.30822,0.81507,0.97584,0.96154,0.98552,0.89924,0.39205,0.37528,0.79464,0.0004754,0.0004754,0.0004754
79,3019.15,0.33471,0.31652,0.80909,0.97987,0.93607,0.98356,0.89159,0.36773,0.36366,0.79064,0.0004556,0.0004556,0.0004556
80,3055.23,0.3191,0.31723,0.80287,0.92626,0.96633,0.98273,0.88801,0.39387,0.38303,0.79125,0.0004358,0.0004358,0.0004358
81,3091.13,0.31329,0.31077,0.79679,0.98027,0.9554,0.98413,0.88118,0.39765,0.37885,0.79509,0.000416,0.000416,0.000416
82,3127.18,0.34299,0.31746,0.8094,0.96153,0.96138,0.98426,0.88997,0.38008,0.36406,0.79601,0.0003962,0.0003962,0.0003962
83,3162.81,0.34348,0.30865,0.80412,1,0.93897,0.98528,0.90675,0.37281,0.35877,0.79567,0.0003764,0.0003764,0.0003764
84,3198.46,0.31354,0.30036,0.80842,0.98847,0.94231,0.9845,0.89477,0.37921,0.35515,0.79531,0.0003566,0.0003566,0.0003566
85,3233.97,0.3066,0.29517,0.78844,1,0.9333,0.98447,0.88599,0.38561,0.35673,0.79616,0.0003368,0.0003368,0.0003368
86,3269.74,0.33148,0.29835,0.81065,1,0.93008,0.9833,0.88372,0.38857,0.35809,0.79742,0.000317,0.000317,0.000317
87,3305.65,0.31567,0.29307,0.80167,0.97942,0.96154,0.98249,0.89002,0.38984,0.37568,0.79805,0.0002972,0.0002972,0.0002972
88,3341.45,0.31843,0.30345,0.8148,0.95969,0.94231,0.96271,0.89058,0.39654,0.36738,0.79762,0.0002774,0.0002774,0.0002774
89,3378.1,0.26873,0.27573,0.78773,0.95026,0.94231,0.96266,0.8828,0.37943,0.35591,0.79678,0.0002576,0.0002576,0.0002576
90,3414.26,0.30633,0.29772,0.80821,0.96018,0.92754,0.96335,0.88575,0.37597,0.3578,0.79484,0.0002378,0.0002378,0.0002378
91,3450.19,0.26986,0.26311,0.78808,0.96065,0.9391,0.96421,0.89184,0.39973,0.37089,0.79621,0.000218,0.000218,0.000218
92,3486.48,0.26861,0.27831,0.79192,0.97935,0.91207,0.96352,0.89185,0.39203,0.37464,0.7963,0.0001982,0.0001982,0.0001982
93,3522.21,0.26178,0.28427,0.79185,0.96141,0.95831,0.98268,0.89374,0.3739,0.36968,0.79542,0.0001784,0.0001784,0.0001784
94,3557.58,0.25626,0.25374,0.78929,0.96142,0.95864,0.98211,0.89175,0.36814,0.37198,0.79383,0.0001586,0.0001586,0.0001586
95,3593.4,0.26435,0.25136,0.77164,0.96145,0.9594,0.98247,0.89137,0.38026,0.36509,0.79284,0.0001388,0.0001388,0.0001388
96,3629.19,0.25622,0.26181,0.78105,0.96145,0.95936,0.98218,0.89375,0.37391,0.35695,0.79282,0.000119,0.000119,0.000119
97,3665.01,0.25894,0.26112,0.78332,0.96145,0.95939,0.98334,0.89474,0.3635,0.34963,0.79126,9.92e-05,9.92e-05,9.92e-05
98,3701.27,0.27925,0.26024,0.78607,0.96151,0.96076,0.98353,0.89201,0.35898,0.35021,0.79035,7.94e-05,7.94e-05,7.94e-05
99,3736.71,0.25949,0.25678,0.7776,1,0.94217,0.98389,0.89297,0.36172,0.34884,0.78731,5.96e-05,5.96e-05,5.96e-05
100,3772.55,0.25389,0.24787,0.77443,1,0.93587,0.98387,0.89227,0.36744,0.34757,0.7864,3.98e-05,3.98e-05,3.98e-05
