epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1593.12,0.73103,0.51251,0.91279,0.9709,0.93023,0.96459,0.75322,0.81508,0.50792,0.97643,0.0011882,0.0011882,0.0011882
43,1626.03,0.70083,0.517,0.90749,0.9637,0.92622,0.95253,0.75358,0.80185,0.48239,0.96561,0.0011684,0.0011684,0.0011684
44,1658.98,0.68718,0.49144,0.90197,0.96889,0.90698,0.95461,0.77891,0.73152,0.46216,0.95539,0.0011486,0.0011486,0.0011486
45,1692.04,0.71182,0.53279,0.91896,0.96352,0.92139,0.95509,0.73948,0.81141,0.51229,0.96517,0.0011288,0.0011288,0.0011288
46,1725,0.67813,0.49582,0.88514,0.95245,0.93169,0.9666,0.74305,0.80006,0.51086,0.97615,0.001109,0.001109,0.001109
47,1757.95,0.67533,0.47621,0.89549,0.98551,0.89535,0.97193,0.76864,0.74728,0.47829,0.96321,0.0010892,0.0010892,0.0010892
48,1791.06,0.64977,0.50594,0.90499,0.92008,0.93704,0.95709,0.77244,0.71845,0.47428,0.94607,0.0010694,0.0010694,0.0010694
49,1823.97,0.66187,0.46182,0.88853,0.97288,0.93023,0.97128,0.75613,0.77128,0.47461,0.95827,0.0010496,0.0010496,0.0010496
50,1856.97,0.64673,0.45631,0.87992,0.99742,0.93023,0.96269,0.75711,0.79852,0.48634,0.96164,0.0010298,0.0010298,0.0010298
51,1890.13,0.6523,0.45497,0.8811,0.96241,0.93023,0.96916,0.77734,0.76581,0.48911,0.95803,0.00101,0.00101,0.00101
52,1923.19,0.68607,0.47997,0.89577,0.9673,0.88372,0.94895,0.75426,0.83091,0.52477,0.97652,0.0009902,0.0009902,0.0009902
53,1956.11,0.68038,0.46727,0.89764,0.98745,0.91479,0.96407,0.76522,0.7612,0.5159,0.95965,0.0009704,0.0009704,0.0009704
54,1989.04,0.66933,0.4646,0.89625,0.98427,0.90698,0.96514,0.75104,0.83103,0.49263,0.96291,0.0009506,0.0009506,0.0009506
55,2022.55,0.7268,0.51637,0.9244,0.97539,0.92168,0.96923,0.77774,0.74506,0.46748,0.95301,0.0009308,0.0009308,0.0009308
56,2056.01,0.68245,0.46546,0.89017,0.95289,0.94072,0.97157,0.78706,0.84532,0.47731,0.96608,0.000911,0.000911,0.000911
57,2089.03,0.64715,0.44775,0.88831,0.98752,0.88372,0.97016,0.79527,0.71635,0.44417,0.94672,0.0008912,0.0008912,0.0008912
58,2122,0.65239,0.44781,0.8878,0.96674,0.9186,0.97211,0.77752,0.77257,0.47839,0.96949,0.0008714,0.0008714,0.0008714
59,2155.01,0.67118,0.45064,0.88274,0.98747,0.91608,0.97327,0.77774,0.74568,0.45894,0.95518,0.0008516,0.0008516,0.0008516
60,2187.94,0.6418,0.42563,0.8697,0.96177,0.9186,0.96805,0.79034,0.72986,0.44794,0.94169,0.0008318,0.0008318,0.0008318
61,2221.14,0.61464,0.42409,0.86355,0.95254,0.93353,0.96377,0.78292,0.79865,0.45292,0.96818,0.000812,0.000812,0.000812
62,2254.11,0.59294,0.41797,0.89265,0.97237,0.93023,0.96979,0.81989,0.69454,0.43366,0.93046,0.0007922,0.0007922,0.0007922
63,2287.24,0.61341,0.41848,0.88577,0.97586,0.94,0.97327,0.79549,0.78319,0.43972,0.96238,0.0007724,0.0007724,0.0007724
64,2320.26,0.5857,0.3973,0.87684,0.95393,0.96299,0.9768,0.7995,0.73625,0.42951,0.94149,0.0007526,0.0007526,0.0007526
65,2353.22,0.57471,0.3791,0.85714,0.97848,0.93023,0.96719,0.79959,0.7607,0.44207,0.96212,0.0007328,0.0007328,0.0007328
66,2386.22,0.5875,0.42106,0.85278,0.96374,0.92724,0.96249,0.77933,0.76333,0.43624,0.95281,0.000713,0.000713,0.000713
67,2419.15,0.568,0.39633,0.87174,0.96345,0.91946,0.96983,0.78713,0.72919,0.42149,0.96145,0.0006932,0.0006932,0.0006932
68,2452.25,0.56416,0.37162,0.85969,0.98757,0.9186,0.97489,0.81022,0.7083,0.43694,0.94462,0.0006734,0.0006734,0.0006734
69,2485.22,0.58878,0.40104,0.86686,0.96498,0.96135,0.9767,0.78852,0.7538,0.41859,0.95742,0.0006536,0.0006536,0.0006536
70,2518.14,0.5689,0.39386,0.8643,0.98054,0.95349,0.97613,0.80162,0.69279,0.40602,0.93184,0.0006338,0.0006338,0.0006338
71,2551.39,0.54887,0.3777,0.85988,0.98794,0.95255,0.97552,0.80969,0.70601,0.41838,0.92536,0.000614,0.000614,0.000614
