epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.896,0.83889,4.73866,1.23228,0.92765,0.27883,0.28853,0.22684,0.92154,4.80191,1.21631,0.00036674,0.00036674,0.00036674
2,561.591,0.8441,3.06135,1.15076,0.91978,0.41509,0.43313,0.33468,0.91356,4.07919,1.16521,0.000735297,0.000735297,0.000735297
3,826.484,0.84477,2.78555,1.11365,0.93604,0.41038,0.44583,0.34974,0.90324,3.29936,1.15157,0.00108867,0.00108867,0.00108867
4,1087.53,0.88376,2.45988,1.15809,0.95803,0.43396,0.45128,0.34589,0.9862,2.71834,1.21873,0.00142686,0.00142686,0.00142686
5,1348.15,0.90421,2.12567,1.1524,0.97063,0.40094,0.61345,0.42808,1.03942,2.83707,1.24021,0.00153497,0.00153497,0.00153497
6,1593.24,0.86688,1.96044,1.12761,0.95657,0.42453,0.53608,0.38968,1.01373,2.47996,1.22018,0.00150197,0.00150197,0.00150197
7,1827.1,0.8867,1.79738,1.14232,0.92454,0.38208,0.59931,0.45979,0.86851,2.0516,1.13046,0.00146896,0.00146896,0.00146896
8,2061.06,0.89832,1.66976,1.13784,0.92342,0.37736,0.5883,0.44653,0.8655,2.03364,1.15126,0.00143595,0.00143595,0.00143595
9,2295.02,0.81179,1.36962,1.09556,0.94904,0.41562,0.58262,0.44572,0.90247,1.77178,1.17075,0.00140295,0.00140295,0.00140295
10,2528.34,0.79153,1.34151,1.11152,0.9521,0.42453,0.51313,0.3951,0.92117,1.59322,1.18659,0.00136994,0.00136994,0.00136994
11,2761.33,0.82562,1.27446,1.12533,0.47078,0.50981,0.61145,0.43166,0.87654,1.4852,1.1405,0.00133693,0.00133693,0.00133693
12,2991.23,0.7702,1.22372,1.06872,0.95764,0.41981,0.56921,0.43142,0.8429,1.47005,1.15954,0.00130393,0.00130393,0.00130393
13,3221.57,0.8182,1.12614,1.10094,0.95831,0.42453,0.57271,0.41857,0.90639,1.41155,1.16446,0.00127092,0.00127092,0.00127092
14,3451.75,0.81052,1.04075,1.0901,0.95981,0.41509,0.51024,0.39157,0.88494,1.45333,1.15834,0.00123791,0.00123791,0.00123791
15,3682.54,0.75566,0.98607,1.06752,0.95986,0.43234,0.50818,0.3861,0.87561,1.30949,1.15898,0.00120491,0.00120491,0.00120491
16,3912.3,0.78481,1.0128,1.08313,0.92983,0.43338,0.54041,0.40962,0.8744,1.1938,1.14695,0.0011719,0.0011719,0.0011719
17,4142.43,0.77367,0.93806,1.10992,0.93869,0.45283,0.5561,0.43969,0.84437,1.06954,1.13258,0.00113889,0.00113889,0.00113889
18,4381.92,0.7571,0.94392,1.0771,0.38363,0.45755,0.57235,0.44432,0.8938,1.17708,1.14198,0.00110589,0.00110589,0.00110589
19,4663.28,0.79585,0.96146,1.09721,0.96345,0.4187,0.58324,0.45714,0.89126,1.06296,1.13684,0.00107288,0.00107288,0.00107288
20,4944.61,0.7838,0.94499,1.08445,0.94695,0.43715,0.5894,0.46749,0.82361,1.02121,1.10298,0.00103987,0.00103987,0.00103987
21,5225.8,0.76677,0.87554,1.06085,0.58263,0.55963,0.62713,0.4862,0.89521,0.98122,1.15947,0.00100687,0.00100687,0.00100687
22,5505.6,0.78059,0.82274,1.09706,0.50632,0.68113,0.68541,0.526,0.90144,0.96754,1.1593,0.000973861,0.000973861,0.000973861
23,5759.77,0.70367,0.7997,1.07629,0.93265,0.45451,0.68869,0.53089,0.84469,0.92827,1.11641,0.000940855,0.000940855,0.000940855
24,5990.06,0.7108,0.80781,1.03747,0.49697,0.78113,0.66025,0.49025,0.85717,0.86883,1.1193,0.000907848,0.000907848,0.000907848
25,6220.03,0.71814,0.71785,1.04281,0.60492,0.87642,0.88016,0.67127,0.78607,0.84321,1.08594,0.000874842,0.000874842,0.000874842
26,6449.97,0.70207,0.72947,1.04879,0.6718,0.7434,0.82364,0.64489,0.81272,0.88662,1.10962,0.000841835,0.000841835,0.000841835
27,6679.96,0.69261,0.67034,1.03822,0.68308,0.78113,0.76903,0.58419,0.77861,0.80771,1.07966,0.000808828,0.000808828,0.000808828
28,6910.34,0.67021,0.65662,1.0084,0.76755,0.77642,0.86524,0.64435,0.83252,0.7924,1.10842,0.000775822,0.000775822,0.000775822
29,7140.61,0.67979,0.63795,1.01495,0.9309,0.75677,0.89465,0.69593,0.79485,0.74039,1.09037,0.000742815,0.000742815,0.000742815
30,7370.81,0.67599,0.66023,1.03082,0.93682,0.75453,0.88975,0.69248,0.80483,0.76532,1.10128,0.000709809,0.000709809,0.000709809
31,7601.23,0.66552,0.62516,1.01008,0.8438,0.85433,0.89105,0.69249,0.84848,0.70607,1.12671,0.000676802,0.000676802,0.000676802
32,7831.05,0.67428,0.61389,1.04131,0.6396,0.8462,0.80629,0.63343,0.78117,0.71351,1.08631,0.000643795,0.000643795,0.000643795
33,8060.86,0.66497,0.61587,1.02893,0.87831,0.77468,0.89609,0.65354,0.7982,0.73126,1.08521,0.000610789,0.000610789,0.000610789
34,8291.33,0.68414,0.60257,1.04745,0.77921,0.76706,0.85889,0.64978,0.82358,0.73405,1.11674,0.000577782,0.000577782,0.000577782
35,8521.52,0.6371,0.56918,0.99993,0.78601,0.78542,0.85855,0.62979,0.80944,0.7082,1.10091,0.000544776,0.000544776,0.000544776
36,8751.53,0.62431,0.57646,1.00481,0.69217,0.88113,0.82974,0.61193,0.80592,0.68431,1.09695,0.000511769,0.000511769,0.000511769
37,8981.72,0.61774,0.5524,1.0167,0.82402,0.76294,0.84696,0.60758,0.80107,0.66134,1.08285,0.000478762,0.000478762,0.000478762
38,9212.04,0.62838,0.55138,0.98876,0.9033,0.77642,0.87455,0.63951,0.77977,0.66202,1.08534,0.000445756,0.000445756,0.000445756
39,9441.98,0.58831,0.55828,0.99232,0.82142,0.75304,0.85132,0.62734,0.84412,0.64894,1.12259,0.000412749,0.000412749,0.000412749
40,9672.31,0.59894,0.53997,0.9953,0.86418,0.83848,0.91853,0.66295,0.81528,0.61892,1.10073,0.000379743,0.000379743,0.000379743
41,9899.78,0.61159,0.56413,0.99006,0.82867,0.87154,0.92658,0.71349,0.79141,0.60713,1.09429,0.000346736,0.000346736,0.000346736
42,10128.6,0.56133,0.52996,0.95807,0.82236,0.86443,0.92827,0.76095,0.80336,0.60929,1.08735,0.000313729,0.000313729,0.000313729
43,10356.6,0.60212,0.54749,0.99847,0.97811,0.73748,0.9076,0.74117,0.75782,0.57767,1.06206,0.000280723,0.000280723,0.000280723
44,10584.5,0.57056,0.53292,0.95361,0.97442,0.85439,0.96175,0.75419,0.77098,0.58886,1.06657,0.000247716,0.000247716,0.000247716
45,10812.5,0.56076,0.50451,0.96016,0.97553,0.85804,0.94121,0.74175,0.73421,0.57561,1.05507,0.00021471,0.00021471,0.00021471
46,11050.9,0.56924,0.50177,0.96218,0.98147,0.85056,0.94094,0.74994,0.7538,0.58614,1.06169,0.000181703,0.000181703,0.000181703
47,11299.8,0.54949,0.47793,0.96161,0.98377,0.86046,0.93407,0.74995,0.75886,0.58045,1.06521,0.000148696,0.000148696,0.000148696
48,11612.3,0.54142,0.48426,0.95933,0.85218,0.85996,0.90837,0.72241,0.75593,0.58108,1.06091,0.00011569,0.00011569,0.00011569
49,11883.2,0.53294,0.50334,0.95147,0.84988,0.86467,0.90877,0.7106,0.74682,0.58207,1.05303,8.26832e-05,8.26832e-05,8.26832e-05
50,12111.8,0.53459,0.48486,0.97268,0.85498,0.87642,0.9145,0.7174,0.73861,0.57699,1.04946,4.96766e-05,4.96766e-05,4.96766e-05
